,date,contract,strike_price,op_fair_price,day,close,atr
258,2022-01-21,202201W4,17900.0,188.0,Friday,17895.0,206.86941961357496
259,2022-01-24,202201W4,17950.0,354.0,Monday,17957.0,211.3787467840339
260,2022-01-25,202201W4,17700.0,123.0,Tuesday,17678.0,223.35169344231718
261,2022-01-26,202202W1,17600.0,456.0,Wednesday,17625.0,218.11228676786595
262,2022-02-07,202202W2,17900.0,178.0,Monday,17899.0,222.17569485587552
263,2022-02-08,202202W2,17950.0,98.5,Tuesday,17942.0,216.87743093759872
264,2022-02-09,202202,18150.0,250.0,Wednesday,18167.0,217.6004715849131
265,2022-02-10,202202,18350.0,157.0,Thursday,18337.0,216.8432950431336
266,2022-02-11,202202,18300.0,192.0,Friday,18275.0,212.4259168257669
267,2022-02-14,202202,18000.0,162.0,Monday,17977.0,221.6097799096407
268,2022-02-15,202202,17950.0,176.0,Tuesday,17953.0,220.78050991609493
269,2022-02-16,202202W4,18200.0,297.0,Wednesday,18213.0,224.0104734935167
270,2022-02-17,202202W4,18250.0,307.0,Thursday,18243.0,219.58115395826553
271,2022-02-18,202202W4,18250.0,201.0,Friday,18226.0,219.25392867553228
272,2022-02-21,202202W4,18200.0,229.0,Monday,18210.0,223.02150519870855
273,2022-02-22,202202W4,17900.0,292.0,Tuesday,17878.0,238.3056833988008
274,2022-02-23,202203W1,18050.0,293.0,Wednesday,18042.0,234.28384887031504
275,2022-02-24,202203W1,17500.0,185.0,Thursday,17516.0,255.8350025224354
276,2022-02-25,202203W1,17600.0,303.0,Friday,17606.0,251.06107377083285
277,2022-03-01,202203W1,17900.0,235.0,Tuesday,17911.0,257.1281399300591
278,2022-03-02,202203W2,17850.0,351.0,Wednesday,17844.0,249.6904156493406
279,2022-03-03,202203W2,17950.0,318.0,Thursday,17929.0,240.42681453153054
280,2022-03-04,202203W2,17650.0,265.0,Friday,17666.0,252.32489920784977
281,2022-03-07,202203W2,17100.0,784.0,Monday,17058.0,278.2302635501462
282,2022-03-08,202203W2,16700.0,336.0,Tuesday,16702.0,284.2852447251358
283,2022-03-09,202203,16950.0,443.0,Wednesday,16946.0,286.907727244769
284,2022-03-10,202203,17450.0,371.0,Thursday,17437.0,302.8428895844284
285,2022-03-11,202203,17200.0,301.0,Friday,17220.0,300.28268318554063
286,2022-03-14,202203,17250.0,185.0,Monday,17239.0,293.11963438657347
287,2022-03-15,202203,16900.0,303.0,Tuesday,16882.0,299.1825176446754
288,2022-03-16,202203W4,16950.0,453.0,Wednesday,16933.0,296.3123378129129
289,2022-03-17,202203W4,17400.0,335.0,Thursday,17446.0,313.5043136834191
290,2022-03-18,202203W4,17400.0,374.0,Friday,17391.0,301.89686270603204
291,2022-03-21,202203W4,17500.0,229.0,Monday,17489.0,293.61851536988695
292,2022-03-22,202203W4,17500.0,148.0,Tuesday,17520.0,279.0743357006093
293,2022-03-23,202203W5,17700.0,270.0,Wednesday,17702.0,274.49759743628005
294,2022-03-24,202203W5,17650.0,268.0,Thursday,17671.0,265.8906261908315
295,2022-03-25,202203W5,17600.0,257.0,Friday,17621.0,256.54129574862924
296,2022-03-28,202203W5,17450.0,318.0,Monday,17438.0,260.85977462372716
297,2022-03-29,202203W5,17550.0,105.0,Tuesday,17545.0,252.15550500774665
